smiles,compound_set,template,hit1,hit2
Cn1nccc1C(=O)NCc1csc(-c2ncn[nH]2)n1,CHIKVMac-DLS-JA001,cx0281a,cx0892a,cx0281a
Cc1nsc(N[C@@H]2CCC[C@H]2c2csc(-c3nc[nH]n3)n2)n1,CHIKVMac-DLS-JA002,cx0281a,cx0406a,cx0281a
CCc1nc(NC(=O)c2ccnc(NC3CC=CC3)c2)no1,CHIKVMac-DLS-JA003,cx0300a,cx0441a,cx0316a
O=C1CC[C@H](Cn2cnccc2=O)N1,CHIKVMac-DLS-JA004,cx0300a,cx0314a,cx1114a
O=c1ccncn1C[C@H]1CCS(=O)(=O)C1,CHIKVMac-DLS-JA005,cx0300a,cx0314a,cx1182a
O=S1(=O)CCc2nc(-c3nccs3)nn2C1,CHIKVMac-DLS-JA006,cx0281a,cx1182a,cx0281a
O=C1C=CC2=NC(c3nccs3)=NC2=N1,CHIKVMac-DLS-JA007,cx0281a,cx1135b,cx0281a
O=S(=O)(Nc1ccccn1)c1cccc(Cc2cccs2)c1O,CHIKVMac-DLS-JA008,cx0289a,cx0289a,cx0892a
O=C(NCc1cccs1)S(=O)(=O)Nc1ccccn1,CHIKVMac-DLS-JA009,cx0289a,cx0289a,cx0892a
O=c1ccccn1Cc1noc(-c2cnc3[nH]ccc3c2)n1,CHIKVMac-DLS-DF001,cx1454a,cx1402a,cx0316a
Cc1[nH][nH]c(=O)c1CC(=O)Nc1cnc2[nH]ccc2c1,CHIKVMac-DLS-DF002,cx1454a,cx0317a,cx1402a
Nc1ccc(-c2nc(Cn3ccccc3=O)no2)cn1,CHIKVMac-DLS-DF003,cx1454a,cx1406a,cx0316a
Cn1cc(C(N)=O)c(CCc2nc(Cn3ccccc3=O)no2)n1,CHIKVMac-DLS-DF004,cx1454a,cx0394a,cx0316a
Cn1c(N)nc2cccc(NCc3cccs3)c21,CHIKVMac-DLS-DF005,cx1454a,cx0892a,cx1203a
Cc1c(N)nn2cccc(NCc3cccs3)c12,cx0892a-cx1203a,cx0300a,cx0892a,cx1203a
CC1=C([C@@H](CO)OCc2c[nH]c3nccc-3c2)C(=O)N=N1,cx0317a-cx1402a,cx0300a,cx0317a,cx1402a
Cc1nsc(N[C@@H]2CCC[C@]23CS[C@@H](c2nc[nH]n2)N3)n1,cx0281a-cx0406a,cx0300a,cx0406a,cx0281a
N[C@@H](c1nccc(O)n1)[C@H]1CS(=O)(=O)C[C@H]1O,cx1182a-cx0314a,cx0300a,cx0314a,cx1182a
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx0316a-cx1406a,cx0300a,cx1406a,cx0316a
O=S1(=O)CC[C@]2(C1)NN[C@H](c1nccs1)N2,cx0281a-cx1182a,cx0300a,cx1182a,cx0281a
