smiles,hit1_short,hit2_short,inchi_key,compound_set,error_type
CN(C(=O)c1cn[nH]c1)[C@H]1C[C@H](O)NC[C@@H]1NC(=O)c1cscn1,cx0732a,cx0300a,LDWRVYYEBGYWCU-DLOVCJGASA-N,cx0732a-cx0300a,NoSynthesisRoute
C[C@H](c1ccc(N)nc1)c1nc(Cn2ccccc2=O)no1,cx1406a,cx0316a,DEYCAJGWGSVJCX-SNVBAGLBSA-N,cx0316a-cx1406a,NoSynthesisRoute
Cn1nccc1C(=O)NC[C@@H]1CC[C@@]2(NCNN2)S1,cx0892a,cx0281a,ZNHLZZKVXUVQKY-KWQFWETISA-N,cx0892a-cx0281a_copy,NoSynthesisRoute
COCc1onc(C(N)=O)c1C(F)F,cx0404a,cx0394a,INXKNUPVWKJHJT-UHFFFAOYSA-N,cx0404a-cx0394a,NoSynthesisRoute
Nc1ccc(S(=O)(=O)Nn2cnc3c(Cl)cccc32)cc1,cx0289a,cx0894d,ZICDNRGAIBEXSM-UHFFFAOYSA-N,cx0894d-cx0289a,NoSynthesisRoute
Nc1ccc2cccc3c2c1N(O)C=C3,cx1372a,cx0353a,DRPPCXAOOGNDIZ-UHFFFAOYSA-N,cx1372a-cx0353a,NoSynthesisRoute
Cc1c(CCO)c(=O)[nH]n1NC1CC=CC1,cx0317a,cx0441a,OXWVKFSSUNEWDS-UHFFFAOYSA-N,cx0317a-cx0441a,NoSynthesisRoute
CCc1nc(CN2CC[C@@]3(CC2=O)[C@@H](C)Oc2c(F)cccc2N3C(C)=O)no1,cx0316a,cx0505a,MVBRVIJPXKWKTK-MPBGBICISA-N,cx0316a-cx0505a,NoSynthesisRoute
CC(=O)N1c2cccc(F)c2O[C@H](C)[C@H]1c1cccc(O)n1,cx1118a,cx0505a,KCUYLFKBJCQPIS-PSLIRLAXSA-N,cx1118a-cx0505a,NoSynthesisRoute
CN(C(=O)c1cn[nH]c1)[C@H]1CC(=O)NC[C@@H]1NC(=O)c1cscn1,cx0732a,cx0300a,QXTJKJMNVYQZDF-ONGXEEELSA-N,cx0300a-cx0732a,NoSynthesisRoute
O=c1ccccn1Cc1noc(CCc2nc3ccccc3[nH]2)n1,cx1444a,cx0316a,SAGMUADGZHCREV-UHFFFAOYSA-N,cx0316a-cx1444a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)C[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,cx0935a,cx0404a,DMQVVDLEWZRGCR-SKZKVKIVSA-N,cx0935a-cx0404a,NoSynthesisRoute
COCC(=O)N[C@H]1CCCC[C@@]12c1c(ncn1C)N(C)C(=O)N2C,cx1298a,cx0692a,VVHSYQXTFULJLI-ZBEGNZNMSA-N,cx0692a-cx1298a,NoSynthesisRoute
COCC(=O)N[C@H]1CCCC[C@@]12[C@@H](COC)ON[C@H]2C(N)=O,cx0692a,cx0404a,DKLDCPPECLCIJZ-QPPBUOOMSA-N,cx0404a-cx0692a,NoSynthesisRoute
COCC1=C2C=CNC(N)=C2NO1,cx0404a,cx1353a,KEMVKKGDYRKKQW-UHFFFAOYSA-N,cx0404a-cx1353a,NoSynthesisRoute
COC(=O)[C@@H]1CN(N)C2=C1CCCN2O,cx1371a,cx1278a,ICXGNKHHURQPSK-SSDOTTSWSA-N,cx1278a-cx1371a,NoSynthesisRoute
CNC(=O)[C@H]1CCC2=C1c1cccnc1CC2,cx1260a,cx0399f,JSSRKODIZZNJHB-NSHDSACASA-N,cx1260a-cx0399f,NoSynthesisRoute
O=c1ccccn1Cc1noc(Cc2ncc[nH]2)n1,cx0316a,cx1268a,ZDMYGDSMHGLFIX-UHFFFAOYSA-N,cx1268a-cx0316a,NoSynthesisRoute
O=C1C(CCO)=CC2=C1CC[C@H](Cn1cnc3ccccc31)C2,cx0620a,cx1091a,BELKKHSDFULCLW-ZDUSSCGKSA-N,cx1091a-cx0620a,NoSynthesisRoute
CC(C)(C(=O)COc1cccc(F)c1)c1ccn(CCO)c(=O)c1,cx0540a,cx1091a,CNCNOCGXDJIOKP-UHFFFAOYSA-N,cx0540a-cx1091a,NoSynthesisRoute
OCc1ccc2c(c1Br)CCO2,cx0969a,cx1076a,UAAVSWKIYQTYMM-UHFFFAOYSA-N,cx0969a-cx1076a,NoSynthesisRoute
COCC(=O)N[C@H]1CC[C@@H](O)[C@]12C(=O)NCC[C@@H]2Br,cx0935a,cx1076a,YIHYBZYHLNJFRX-APOZVJGGSA-N,cx1076a-cx0935a,NoSynthesisRoute
CNC(=O)c1c2c(cc3c1=NC=C3)=CC(C(=O)N[C@@H]1CCC(=O)NC1)=N2,cx0300a,cx0399a,ZZDYVGCKMGXMDI-LLVKDONJSA-N,cx0399a-cx0300a,NoSynthesisRoute
CC[C@H]1CCCCc2c1c(C)nn2O,cx1445a,cx1417a,PQKNEXGVROLRJV-VIFPVBQESA-N,cx1417a-cx1445a,NoSynthesisRoute
